_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,does_this_image_contain_an_avatar,does_this_image_contain_a_human,enter_your_country_of_residence,what_gender_do_you_think_this_human_is,does_this_image_contain_a_bot_gold,does_this_image_contain_a_human_gold,id,image_url,what_gender_do_you_think_this_human_is_gold
2294857635,5/21/2019 22:49:57,false,4821615857,,5/21/2019 22:49:12,false,neodev,1,44305498,VEN,4,Maracay,190.6.34.186,no,yes,Venezuela,female,,,1,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5975.JPG,
2294857635,5/21/2019 22:53:32,false,4821625715,,5/21/2019 22:52:28,false,neodev,1,44004184,VEN,25,Caracas,186.94.195.178,no,yes,Japan,female,,,1,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5975.JPG,
2294857635,5/21/2019 23:26:24,false,4821721638,,5/21/2019 23:19:31,false,feca,1,45191492,BRA,21,Niteroi,177.136.147.54,no,yes,Brazil,female,,,1,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5975.JPG,
2294857635,5/21/2019 23:27:40,false,4821725149,,5/21/2019 23:26:32,false,feca,0.9286,45269396,IND,2,Hyderabad,124.123.82.235,no,yes,India,female,,,1,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5975.JPG,
2294857636,5/21/2019 22:43:38,false,4821597613,,5/21/2019 22:42:48,false,neodev,1,45112231,VEN,,,186.89.190.69,yes,,VENEZUELA,,,,2,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5976.JPG,
2294857636,5/21/2019 22:43:59,false,4821598580,,5/21/2019 22:42:50,false,feca,0.9231,45194331,VEN,,,201.242.69.93,no,yes,JAPAN,female,,,2,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5976.JPG,
2294857636,5/21/2019 23:15:12,false,4821688916,,5/21/2019 23:14:08,false,feca,0.9231,45157221,VEN,,,190.38.134.183,yes,,venezuela,,,,2,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5976.JPG,
2294857636,5/21/2019 23:22:49,false,4821709541,,5/21/2019 23:12:42,false,feca,0.9091,45161628,VEN,,,201.208.140.248,yes,,venezuela,,,,2,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5976.JPG,
2294857637,5/21/2019 22:54:29,false,4821628548,,5/21/2019 22:53:33,false,feca,0.9231,45157221,VEN,,,190.38.134.183,no,yes,venezuela,female,,,3,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5977.JPG,
2294857637,5/21/2019 22:54:40,false,4821628914,,5/21/2019 22:53:34,false,neodev,1,44004184,VEN,25,Caracas,186.94.195.178,no,yes,Japan,female,,,3,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5977.JPG,
2294857637,5/21/2019 22:54:46,false,4821629158,,5/21/2019 22:53:44,false,feca,0.9286,45269396,IND,2,Hyderabad,124.123.82.235,no,yes,India,female,,,3,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5977.JPG,
2294857638,5/21/2019 22:45:40,false,4821603711,,5/21/2019 22:44:35,false,timebucks,1,44591127,SRB,0,Belgrade,212.200.65.80,no,yes,Serbia,female,,,4,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5978.JPG,
2294857638,5/21/2019 22:45:45,false,4821603969,,5/21/2019 22:44:53,false,feca,1,45158697,RUS,67,Saratov,176.15.121.243,no,yes,korea,female,,,4,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5978.JPG,
2294857638,5/21/2019 22:45:54,false,4821604411,,5/21/2019 22:45:03,false,feca,1,45184618,EGY,11,Cairo,217.55.217.149,no,yes,china,female,,,4,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5978.JPG,
2294857638,5/21/2019 22:48:44,false,4821612487,,5/21/2019 22:48:04,false,neodev,1,44305498,VEN,4,Maracay,190.6.34.186,yes,,Venezuela,,,,4,https://s3-us-west-2.amazonaws.com/bot-moderation/IMG_5978.JPG,
